Time,,Time,BETR.,time,Day Ahead Price hourly [in EUR/MWh],Intraday Price Price Quarter Hourly  [in EUR/MWh],Intraday Price Hourly  [in EUR/MWh],Imbalance Price Quarter Hourly  [in EUR/MWh],new_col,date,Year,multiplier,spread,PnL,Cum_PnL
2021-01-03,259,2021-01-03 17:00:00+01:00,777.745,2021-01-03 16:45:00,36.11,57.69,45.44,177.77,6,2021-01-03,2021,0,120.08000000000001,0.0,1304.8400000000004
2021-01-03,260,2021-01-03 17:15:00+01:00,833.559,2021-01-03 17:00:00,45.04,45.21,52.83,92.15,7,2021-01-03,2021,0,46.940000000000005,0.0,1304.8400000000004
2021-01-03,261,2021-01-03 17:30:00+01:00,878.426,2021-01-03 17:15:00,45.04,57.17,52.83,133.29,8,2021-01-03,2021,0,76.11999999999999,0.0,1304.8400000000004
2021-01-03,262,2021-01-03 17:45:00+01:00,557.879,2021-01-03 17:30:00,45.04,60.24,52.83,126.94,9,2021-01-03,2021,0,66.69999999999999,0.0,1304.8400000000004
2021-01-03,263,2021-01-03 18:00:00+01:00,335.122,2021-01-03 17:45:00,45.04,64.34,52.83,112.46,10,2021-01-03,2021,0,48.11999999999999,0.0,1304.8400000000004
2021-01-03,264,2021-01-03 18:15:00+01:00,592.332,2021-01-03 18:00:00,52.56,77.33,61.38,116.86,11,2021-01-03,2021,-1,39.53,-39.53,1265.3100000000004
2021-01-03,265,2021-01-03 18:30:00+01:00,638.304,2021-01-03 18:15:00,52.56,70.15,61.38,105.19,12,2021-01-03,2021,-1,35.03999999999999,-35.03999999999999,1230.2700000000004
2021-01-03,266,2021-01-03 18:45:00+01:00,591.86,2021-01-03 18:30:00,52.56,72.02,61.38,113.84,13,2021-01-03,2021,-1,41.82000000000001,-41.82000000000001,1188.4500000000005
2021-01-03,267,2021-01-03 19:00:00+01:00,586.313,2021-01-03 18:45:00,52.56,73.81,61.38,121.44,14,2021-01-03,2021,-1,47.629999999999995,-47.629999999999995,1140.8200000000006
2021-01-03,268,2021-01-03 19:15:00+01:00,429.788,2021-01-03 19:00:00,45.84,78.12,60.97,135.99,15,2021-01-03,2021,-1,57.870000000000005,-57.870000000000005,1082.9500000000007
2021-01-03,269,2021-01-03 19:30:00+01:00,-115.836,2021-01-03 19:15:00,45.84,74.82,60.97,20.88,16,2021-01-03,2021,-1,-53.94,53.94,1136.8900000000008
2021-01-03,270,2021-01-03 19:45:00+01:00,-249.167,2021-01-03 19:30:00,45.84,76.21,60.97,34.32,17,2021-01-03,2021,-1,-41.88999999999999,41.88999999999999,1178.7800000000009
2021-01-03,271,2021-01-03 20:00:00+01:00,-419.064,2021-01-03 19:45:00,45.84,66.79,60.97,18.63,18,2021-01-03,2021,-1,-48.16000000000001,48.16000000000001,1226.940000000001
2021-01-03,272,2021-01-03 20:15:00+01:00,299.01,2021-01-03 20:00:00,35.83,74.51,62.99,117.76,19,2021-01-03,2021,0,43.25,0.0,1226.940000000001
2021-01-03,273,2021-01-03 20:30:00+01:00,129.062,2021-01-03 20:15:00,35.83,65.83,62.99,77.03,20,2021-01-03,2021,0,11.200000000000003,0.0,1226.940000000001
2021-01-03,274,2021-01-03 20:45:00+01:00,135.225,2021-01-03 20:30:00,35.83,59.51,62.99,81.14,21,2021-01-03,2021,-1,21.630000000000003,-21.630000000000003,1205.3100000000009
2021-01-03,275,2021-01-03 21:00:00+01:00,202.497,2021-01-03 20:45:00,35.83,58.17,62.99,79.79,22,2021-01-03,2021,-1,21.620000000000005,-21.620000000000005,1183.690000000001
2021-01-03,276,2021-01-03 21:15:00+01:00,410.227,2021-01-03 21:00:00,33.31,50.08,52.35,129.73,23,2021-01-03,2021,-1,79.64999999999999,-79.64999999999999,1104.0400000000009
2021-01-03,277,2021-01-03 21:30:00+01:00,420.044,2021-01-03 21:15:00,33.31,56.8,52.35,119.87,24,2021-01-03,2021,-1,63.07000000000001,-63.07000000000001,1040.970000000001
2021-01-03,278,2021-01-03 21:45:00+01:00,194.695,2021-01-03 21:30:00,33.31,57.33,52.35,98.57,25,2021-01-03,2021,-1,41.239999999999995,-41.239999999999995,999.7300000000009
2021-01-03,279,2021-01-03 22:00:00+01:00,152.34,2021-01-03 21:45:00,33.31,60.54,52.35,94.5,26,2021-01-03,2021,-1,33.96,-33.96,965.7700000000009
2021-01-03,280,2021-01-03 22:15:00+01:00,183.215,2021-01-03 22:00:00,34.98,72.86,52.7,168.05,27,2021-01-03,2021,-1,95.19000000000001,-95.19000000000001,870.5800000000008
2021-01-03,281,2021-01-03 22:30:00+01:00,25.025,2021-01-03 22:15:00,34.98,73.95,52.7,163.13,28,2021-01-03,2021,-1,89.17999999999999,-89.17999999999999,781.4000000000009
2021-01-03,282,2021-01-03 22:45:00+01:00,-174.172,2021-01-03 22:30:00,34.98,58.74,52.7,19.36,29,2021-01-03,2021,-1,-39.38,39.38,820.7800000000009
2021-01-03,283,2021-01-03 23:00:00+01:00,-404.303,2021-01-03 22:45:00,34.98,53.43,52.7,18.84,30,2021-01-03,2021,-1,-34.59,34.59,855.3700000000009
2021-01-03,284,2021-01-03 23:15:00+01:00,-418.657,2021-01-03 23:00:00,27.39,37.81,49.77,43.75,31,2021-01-03,2021,-1,5.939999999999998,-5.939999999999998,849.430000000001
2021-01-03,285,2021-01-03 23:30:00+01:00,-148.938,2021-01-03 23:15:00,27.39,64.23,49.77,24.37,32,2021-01-03,2021,-1,-39.86,39.86,889.290000000001
2021-01-03,286,2021-01-03 23:45:00+01:00,337.099,2021-01-03 23:30:00,27.39,46.3,49.77,67.94,33,2021-01-03,2021,-1,21.64,-21.64,867.650000000001
2021-01-03,287,2021-01-03 00:00:00+01:00,203.802,2021-01-03 23:45:00,27.39,29.76,49.77,40.48,34,2021-01-03,2021,-1,10.719999999999995,-10.719999999999995,856.930000000001
2021-01-04,350,2021-01-04 15:45:00+01:00,311.255,2021-01-04 15:30:00,59.46,61.02,71.19,66.04,1,2021-01-04,2021,0,5.020000000000003,0.0,856.930000000001
2021-01-04,351,2021-01-04 16:00:00+01:00,172.349,2021-01-04 15:45:00,59.46,60.93,71.19,88.99,2,2021-01-04,2021,0,28.059999999999995,0.0,856.930000000001
2021-01-04,352,2021-01-04 16:15:00+01:00,1248.608,2021-01-04 16:00:00,61.99,67.01,70.5,95.51,3,2021-01-04,2021,-1,28.5,-28.5,828.430000000001
2021-01-04,353,2021-01-04 16:30:00+01:00,1150.842,2021-01-04 16:15:00,61.99,70.47,70.5,110.11,4,2021-01-04,2021,-1,39.64,-39.64,788.790000000001
2021-01-04,354,2021-01-04 16:45:00+01:00,799.59,2021-01-04 16:30:00,61.99,76.39,70.5,186.85,5,2021-01-04,2021,0,110.46,0.0,788.790000000001
